,model,temp,qdot,qbo
69,GEOSCCM_CCMI,0.21900397661364476,-4.530823781931755,0.00020751836013347205
70,LMDZrepro,0.16182221996477728,-1.3651336738606097,0.00920170985834088
71,LMDZrepro,0.16923935856341416,-1.8779283622640892,0.015039099027126208
72,LMDZrepro,0.22593758950951304,-0.6197668217366379,0.0011362295916299814
73,LMDZrepro,0.19430156301802673,-1.8584565143898997,-0.009450626595629043
74,LMDZrepro,0.26209678043866985,-0.9147055971182191,0.0029697114195382543
75,LMDZrepro,0.446250086496955,0.10029536216443227,-0.0053545915057410486
76,LMDZrepro,0.37826565110607174,-1.3233295049828777,-0.047774331271198685
77,LMDZrepro,0.4317149961540625,-5.03426142448197,0.05774380544666544
78,LMDZrepro,0.7905403991004767,-2.244245841660485,-0.018938267548124076
79,LMDZrepro,0.23170083503643665,-11.829505468344523,-0.0467317465445379
80,MRI,0.29260455097663224,-5.860610183813398,0.005208048522009411
81,MRI,0.31231334953488,-4.297722827897477,0.006308143936614022
82,MRI,0.28041286762162254,-4.645468643572069,-0.003639059440009466
83,MRI,0.131023042387591,-4.969925113551563,0.009718913725578811
84,MRI,0.1817302515788505,-7.690028149987225,0.012054799985868529
85,MRI,0.02777266481339572,-5.719553697571774,0.001392100592079308
86,MRI,0.2570570052729634,-7.0621319795983535,0.00886023722266229
87,MRI,0.09482826731883494,-5.789458970254635,0.00904408767306659
88,MRI,0.133507433978799,-5.240148998656944,0.009848959386673625
89,MRI,0.14946064448496188,-5.804061402003328,0.021660205411138604
90,MRI-ESM1r1,0.09541090048743696,-3.032948301406685,0.006486291362766801
91,MRI-ESM1r1,0.09858128833622595,-3.6588227786281147,0.003586734845216651
92,MRI-ESM1r1,0.06635593500490043,-4.1842313073769,0.004727326813442019
93,MRI-ESM1r1,0.15781719889405646,-4.048959403113512,0.008640459546104224
94,MRI-ESM1r1,0.3141677525921532,-3.084479835901315,0.015611277001174532
95,MRI-ESM1r1,0.35966814660318014,-3.131810818324372,0.0069731726108914135
96,MRI-ESM1r1,0.1728874775625391,-4.1875587582302485,0.0038827436067733843
97,MRI-ESM1r1,0.163286358731658,-4.058940517966067,0.00021807450926096224
98,MRI-ESM1r1,-0.033522299604081526,-3.061389266456148,0.008990149489157825
99,MRI-ESM1r1,0.10770472369694592,-4.377355455199023,0.002433247648265545
100,NIWA-UKCA,-0.049648892194178014,-2.639130349330522,0.004086262462770553
101,NIWA-UKCA,0.055963274850903896,-1.76727986481596,0.004703357862783414
102,NIWA-UKCA,0.03327040667976913,-1.3938662111288878,0.005814341288723698
103,NIWA-UKCA,-0.11612375425338403,-2.022896895509208,-0.0014008783650056088
104,NIWA-UKCA,0.09849786402095953,-2.018850546650776,0.004414651020911251
105,NIWA-UKCA,-0.1152080223727638,-3.032160972339663,-0.0011683423522052718
106,NIWA-UKCA,0.08784942078605122,-2.8520081769912418,0.0006144966854582612
107,NIWA-UKCA,0.08706391436616116,-4.373334065582606,0.0025037417499918706
108,NIWA-UKCA,-0.04062160969847979,-4.258709011233343,0.002706197674924848
109,NIWA-UKCA,-0.05521740342684469,-3.3990160350196756,0.011251784068851928
110,WACCM,0.10630540012126544,-0.21351918514202692,0.015559656641680826
111,WACCM,0.05493156504758214,-0.041284446992633186,0.02824331464281165
112,WACCM,0.11042848808749671,-0.2509524654404724,-0.02029664167712133
113,WACCM,0.18168693629660293,0.13364860424445255,0.009893905508947193
114,WACCM,-0.06325498053072535,-0.1110452547005755,0.04085212013797668
115,WACCM,0.15571957579084417,0.033178469092108906,-0.03668843048818031
116,WACCM,0.2006034591884057,0.11491586927697456,0.04316475025650283
117,WACCM,-0.024933353032794467,0.3941266202364797,0.08825262661231986
118,WACCM,0.11726072271023362,0.3578780141591985,-0.003418356487656847
119,WACCM,0.034056807908462654,0.3221424229920633,0.045885967361678076
